,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
3406,Pontiac,1,Friday,May,0.0,1,Single,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
3407,Toyota,1,Thursday,Jun,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3421,Pontiac,1,Monday,May,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3422,Honda,1,Wednesday,May,0.25,1,Divorced,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3443,Mazda,1,Monday,May,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
3456,Mazda,0,Tuesday,May,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3460,Mazda,1,Monday,May,0.25,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3462,Mazda,1,Friday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3492,Honda,1,Monday,May,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3501,Accura,0,Wednesday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3519,Mazda,1,Wednesday,May,0.75,1,Married,1,Sport - Collision,Sport,more than 69000,1.0,0.5,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,3 to 5,2 to 3 years,1 vehicle,Collision,True,Sport,Collision,0
3549,Pontiac,1,Friday,Jun,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,1 year,2 vehicles,All Perils,True,Sedan,All Perils,0
3555,Toyota,1,Tuesday,May,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3556,Toyota,0,Monday,May,0.5,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3569,Accura,0,Wednesday,May,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,5 years,over 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3579,Mazda,1,Thursday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3585,Accura,1,Monday,May,0.5,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
3588,Pontiac,0,Tuesday,Jun,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3598,Toyota,1,Tuesday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,none,15 to 30,2 to 4,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3613,Pontiac,1,Friday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3649,Pontiac,0,Wednesday,May,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,3 to 4,Collision,True,Sedan,Collision,0
3675,Pontiac,1,Monday,May,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
3683,Saab,1,Wednesday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3693,Pontiac,1,Friday,Jun,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,26 to 30,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3724,Chevrolet,1,Tuesday,May,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3725,Pontiac,1,Tuesday,May,0.5,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,over 65,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3740,Honda,1,Wednesday,May,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
3772,Honda,1,Tuesday,Jun,1.0,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,3 to 5,no change,3 to 4,Collision,True,Sedan,Collision,0
3777,Toyota,1,Friday,May,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
3785,Mazda,0,Tuesday,Oct,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3800,Chevrolet,1,Friday,May,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3819,Mazda,1,Monday,May,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3833,Pontiac,1,Thursday,May,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,over 65,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3856,Honda,1,Tuesday,May,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3884,Toyota,1,Tuesday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
3926,Mazda,1,Tuesday,May,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
3939,Accura,1,Tuesday,May,0.75,1,Married,0,Sedan - Liability,Sport,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
3946,Mazda,1,Friday,May,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
3978,Pontiac,1,Monday,May,0.25,1,Married,1,Sedan - Collision,Sedan,more than 69000,1.0,0.5,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
3994,Toyota,1,Monday,Jun,0.0,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,5 years,26 to 30,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4029,Pontiac,1,Monday,Jun,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.5,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
4087,Honda,0,Tuesday,May,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4088,Toyota,1,Monday,Jun,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4094,Chevrolet,1,Wednesday,Jun,0.0,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
4102,Chevrolet,1,Thursday,Jun,0.0,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
4145,Accura,1,Friday,Jun,0.25,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4158,Honda,1,Monday,Jun,0.0,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
4164,Ford,0,Thursday,Jun,0.0,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,over 65,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
4172,Toyota,1,Thursday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4175,Mazda,1,Friday,Jun,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4202,Mazda,1,Monday,Jul,0.0,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
4222,Honda,1,Wednesday,Jun,1.0,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4228,Accura,1,Wednesday,Jun,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,over 65,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
4266,Mazda,1,Tuesday,Jun,0.5,1,Single,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
4275,Mazda,0,Thursday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4287,Toyota,0,Monday,Jun,0.0,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4308,Pontiac,1,Monday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4314,Pontiac,1,Tuesday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4316,Pontiac,0,Tuesday,Jun,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4334,Toyota,1,Tuesday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4337,Pontiac,1,Wednesday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4347,Mazda,1,Tuesday,Jun,0.5,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
4355,Honda,1,Wednesday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
4360,Toyota,0,Monday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,51 to 65,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4375,Pontiac,1,Tuesday,Jul,0.0,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4377,Accura,0,Monday,Jun,0.75,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
4395,Pontiac,1,Tuesday,Jun,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
4397,Toyota,1,Monday,Jun,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4448,Accura,1,Wednesday,Jun,1.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4462,Toyota,1,Monday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
4467,Pontiac,1,Thursday,Jun,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4468,VW,1,Wednesday,Jun,1.0,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4541,Honda,1,Monday,Jun,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
4545,Honda,0,Friday,Jun,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,4 years,21 to 25,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4550,Accura,1,Monday,Jul,0.75,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,15 to 30,more than 30,1,5 years,41 to 50,0,0,0,none,1 year,1 vehicle,All Perils,True,Utility,All Perils,0
4553,Mazda,1,Thursday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
4561,Mazda,1,Monday,Jun,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,3 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
4578,Mazda,1,Monday,Jun,0.5,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,4 years,31 to 35,0,0,0,3 to 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
4589,Pontiac,1,Monday,Jul,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4596,Accura,1,Monday,Jun,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4604,Saturn,1,Tuesday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4605,Ford,1,Friday,Sep,0.25,1,Single,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
4649,Toyota,1,Monday,Jun,0.75,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
4655,Honda,1,Friday,Jun,0.75,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4660,Toyota,1,Monday,Jul,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
4666,Pontiac,1,Monday,Jun,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4716,Honda,1,Tuesday,Oct,0.75,0,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
4726,Toyota,1,Thursday,Jul,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4732,Honda,1,Tuesday,Jul,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,more than 5,1 year,1 vehicle,Collision,True,Sedan,Collision,0
4775,Mazda,1,Tuesday,Jun,1.0,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4794,Chevrolet,1,Thursday,Dec,1.0,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
4811,Mazda,1,Monday,Jul,0.0,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4817,Chevrolet,1,Friday,Jul,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
4831,Toyota,1,Thursday,Jul,0.5,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4845,Ford,1,Wednesday,Jul,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.5,0.3333333333333333,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
4896,Pontiac,1,Wednesday,Dec,1.0,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
4898,Honda,1,Thursday,Nov,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4909,Honda,1,Friday,Jul,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
4943,Chevrolet,1,Thursday,Jul,1.0,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
4968,Pontiac,1,Tuesday,Jul,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,36 to 40,0,1,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5018,Honda,1,Monday,Oct,0.25,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
5049,Toyota,1,Tuesday,Nov,0.5,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
5060,Honda,1,Tuesday,Aug,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5079,Toyota,0,Monday,Jul,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
5083,Mercury,1,Thursday,Sep,0.25,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5092,Pontiac,0,Friday,Jul,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
5101,Mazda,1,Friday,Jul,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
5112,Toyota,1,Monday,Jul,0.5,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
